Time,Ticker,Order,T,Shares,Price,MPID,X
34257739,IBM,7341119,B,200,1804900,,Q
34258708,IBM,0,T,100,1806400,,Q
34258710,IBM,5737318,F,0,0,,Q
34258710,IBM,7353495,B,200,1805900,,Q
34258710,IBM,7353502,S,100,1806500,,Q
34258750,IBM,7329210,D,0,0,,Q
34258750,IBM,7354250,B,100,1805900,,Q
34258795,IBM,7353495,D,0,0,,Q
34259002,IBM,7341119,D,0,0,,Q
34259039,IBM,7357282,B,200,1805500,,Q
34259218,IBM,7353502,F,0,0,,Q
34259218,IBM,7359560,B,100,1806500,,Q
34259218,IBM,7359564,B,100,1805800,,Q
34259219,IBM,7359560,F,0,0,,Q
34259219,IBM,7354250,D,0,0,,Q
34259220,IBM,7359604,B,100,1806500,,Q
34259222,IBM,7359604,F,0,0,,Q
34259307,IBM,7359564,D,0,0,,Q
34259552,IBM,7170366,D,0,0,,Q
34259555,IBM,7170307,D,0,0,,Q
34259602,IBM,7341118,D,0,0,,Q
34259602,IBM,7357282,D,0,0,,Q
34259724,IBM,7365690,S,100,1806500,,Q
34259725,IBM,7365690,E,99,0,,Q
34259725,IBM,7365725,B,200,1805100,,Q
34259725,IBM,7365726,B,200,1804700,,Q
34259726,IBM,7365690,F,0,0,,Q
34259732,IBM,7365801,S,100,1808900,,Q
34260002,IBM,7365726,D,0,0,,Q
34260014,IBM,7369891,B,200,1805700,,Q
34260096,IBM,0,T,83,1806000,,Q
34260115,IBM,0,T,100,1805800,,Q
34260115,IBM,7369891,F,0,0,,Q
34260115,IBM,7374039,S,100,1808200,,Q
34260119,IBM,7374224,B,200,1804700,,Q
34260194,IBM,7376311,B,300,1802500,,Q
34260198,IBM,7376352,S,300,1808300,,Q
34260201,IBM,7374039,D,0,0,,Q
34260205,IBM,7376352,D,0,0,,Q
34260205,IBM,7376490,S,300,1808100,,Q
34260235,IBM,7377135,S,100,1806500,,Q
34260237,IBM,7377197,S,200,1807600,,Q
34260238,IBM,7376490,D,0,0,,Q
34260238,IBM,7377221,S,300,1807000,,Q
34260602,IBM,7374224,D,0,0,,Q
34260895,IBM,7390207,B,200,1805500,,Q
34261084,IBM,7329173,D,0,0,,Q
34261403,IBM,0,T,61,1806300,,Q
34261403,IBM,7377135,E,39,0,,Q
34261429,IBM,7403935,S,200,1807200,,Q
34261802,IBM,7390207,D,0,0,,Q
34261805,IBM,7411622,B,200,1805300,,Q
34262202,IBM,7377197,D,0,0,,Q
34262683,IBM,7427637,S,200,1807500,,Q
34263802,IBM,7365725,D,0,0,,Q
34264021,IBM,0,T,100,1806200,,Q
34264026,IBM,7457722,B,200,1805100,,Q
34264191,IBM,7462851,S,15,1806900,,Q
34264446,IBM,7462851,D,0,0,,Q
34264450,IBM,7467333,S,15,1807000,,Q
34264602,IBM,7411622,D,0,0,,Q
34264602,IBM,7403935,D,0,0,,Q
34264620,IBM,7469694,B,200,1804700,,Q
34265002,IBM,7457722,D,0,0,,Q
34265002,IBM,7427637,D,0,0,,Q
34265268,IBM,6806610,D,0,0,,Q
34265274,IBM,7487189,S,25,1996500,,Q
34265700,IBM,0,T,83,1805300,,Q
34265897,IBM,7502596,B,200,1805400,,Q
34265897,IBM,7502597,S,200,1807200,,Q
34265897,IBM,7502598,S,200,1807600,,Q
34265938,IBM,7467333,D,0,0,,Q
34265942,IBM,7503737,S,15,1806800,,Q
34266193,IBM,7503737,D,0,0,,Q
34266196,IBM,7509054,S,15,1806500,,Q
34266202,IBM,7469694,D,0,0,,Q
34266202,IBM,7502597,D,0,0,,Q
34266448,IBM,7509054,D,0,0,,Q
34266451,IBM,7514020,S,15,1807000,,Q
34267014,IBM,7524468,B,200,1805000,,Q
34267014,IBM,7524469,S,200,1807200,,Q
34267402,IBM,7502596,D,0,0,,Q
34267404,IBM,7530334,B,100,1805000,,Q
34267405,IBM,7530349,B,200,1804600,,Q
34267802,IBM,7524468,D,0,0,,Q
34267802,IBM,7502598,D,0,0,,Q
34268020,IBM,7056032,D,0,0,,Q
34269672,IBM,7530334,F,0,0,,Q
34269672,IBM,7569181,S,100,1805200,,Q
34269672,IBM,7569183,S,100,1806900,,Q
34269672,IBM,7569181,D,0,0,,Q
34269747,IBM,7514020,D,0,0,,Q
34269751,IBM,7571627,S,15,1806900,,Q
